[2022-05-24 18:48:57,752][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:48:58,654][test_02_dynamic.py 41][INFO]: ---- 动态列表接口 ----
[2022-05-24 18:48:58,817][test_02_dynamic.py 44][INFO]: 请求成功
[2022-05-24 18:48:58,821][test_02_dynamic.py 41][INFO]: ---- 动态列表接口 ----
[2022-05-24 18:48:58,984][test_02_dynamic.py 44][INFO]: 请求成功
[2022-05-24 18:48:58,989][test_02_dynamic.py 41][INFO]: ---- 动态列表接口 ----
[2022-05-24 18:48:59,145][test_02_dynamic.py 44][INFO]: 请求成功
[2022-05-24 18:48:59,147][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:48:59,150][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:48:59,613][test_03_message.py 40][INFO]: ---- 系统消息接口 ----
[2022-05-24 18:48:59,809][test_03_message.py 43][INFO]: 请求成功
[2022-05-24 18:48:59,810][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:48:59,813][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:00,280][test_04_home.py 54][INFO]: ---- 首页信息接口 ----
[2022-05-24 18:49:00,491][test_04_home.py 58][INFO]: 请求成功
[2022-05-24 18:49:00,492][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:00,987][test_02_dynamic.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:01,324][test_02_dynamic.py 56][INFO]: ---- 发布动态接口 ----
[2022-05-24 18:49:01,886][test_02_dynamic.py 63][INFO]: 请求成功
[2022-05-24 18:49:01,887][test_02_dynamic.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:01,890][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:03,360][test_03_message.py 55][INFO]: ---- 用户消息接口 ----
[2022-05-24 18:49:03,606][test_03_message.py 58][INFO]: 请求成功
[2022-05-24 18:49:03,608][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:49:03,611][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:49:04,162][test_04_home.py 70][INFO]: ---- 轮播图接口 ----
[2022-05-24 18:49:04,347][test_04_home.py 74][INFO]: 请求成功
